population,NofCrime,Nof5CategoryCrime,NofOtherCrime,midnightCrime,morningCrime,dayCrime,nightCrime,bad_health,bad_health_range,bad_health_range10
4334,90,43,18,20,20,24,26,11.6,2,4
5969,69,32,16,17,16,17,19,13.5,3,5
3493,126,80,29,18,34,25,49,12.9,2,4
5880,183,101,53,21,28,51,83,16.4,3,6
3825,124,61,24,19,18,40,47,14.2,3,5
3966,130,62,28,14,24,49,43,14.4,3,5
4962,160,94,42,26,28,52,54,11.3,2,4
2933,259,122,54,43,39,108,69,18.6,4,6
3463,218,110,57,26,38,67,87,18.7,4,7
5108,131,72,20,17,17,58,39,11.5,2,4
5837,147,63,30,16,36,53,42,16.1,3,6
2979,13,8,5,2,2,4,5,9.6,2,3
5020,196,114,39,29,34,52,81,14.9,3,5
2317,147,90,24,19,55,39,34,9.3,2,3
3236,143,88,39,30,43,36,34,10.3,2,3
4320,39,21,4,4,11,11,13,8.8,1,3
3389,40,22,8,8,12,10,10,10,2,3
3237,127,65,17,16,33,42,36,11.9,2,4
3890,185,96,38,29,29,55,72,19.4,4,7
2853,63,39,14,3,14,25,21,11.8,2,4
3247,193,108,50,23,40,62,68,14.7,3,5
5404,105,51,31,8,21,40,36,13.6,3,5
2230,73,44,4,7,20,27,19,9.8,2,3
3430,159,89,26,6,30,77,46,9.7,2,3
3256,45,22,2,3,10,25,7,8.2,1,3
1698,43,20,9,7,14,14,8,9.2,2,3
5551,57,17,12,1,13,26,17,8.1,1,3
4895,51,23,16,8,10,16,17,8.2,1,3
2492,155,84,32,14,43,62,36,14.6,3,5
2669,105,49,24,13,27,31,34,11.4,2,4
3085,109,55,34,19,23,38,29,12.3,2,4
3720,104,56,17,10,24,37,33,12.7,2,4
4303,181,106,55,30,38,58,55,15.4,3,5
5020,114,49,23,16,22,39,37,12.5,2,4
4252,324,176,56,31,61,121,111,13.3,3,5
2975,151,66,28,21,27,50,53,13.3,3,5
4493,116,67,28,10,30,29,47,11.9,2,4
4565,135,79,34,22,24,38,51,11.9,2,4
